nbSain,nbInfection,nbMorts,nbConfiner,nbMaks
9998,2,0,0,0
9947,53,0,0,0
9511,489,0,0,5347
7676,2320,4,10,5446
4568,5404,28,267,5505
4467,5404,129,2050,5383
6900,2799,301,4037,4346
8478,1063,459,4273,3263
9097,398,505,4291,3174
9331,151,518,4291,3204
9399,76,525,4292,3152
9431,43,526,4292,3136
9434,40,526,4292,3137
9429,43,528,4292,3097
9423,49,528,4292,3090
9430,41,529,4292,3102
9425,46,529,4292,3094
9420,49,531,4282,3090
9412,53,535,4025,3160
9403,61,536,2246,3225
9398,64,538,274,4174
9394,66,540,67,5393
9382,74,544,80,5557
9340,113,547,111,5439
9329,120,551,150,5430
9339,109,552,194,5410
9349,94,557,254,5383
9345,95,560,301,5406
9349,89,562,344,5265
9357,81,562,372,5349
9355,81,564,403,5263
9357,76,567,426,5279
9353,76,571,449,5235
9341,84,575,469,5252
9338,84,578,477,5161
9343,76,581,468,5274
9355,62,583,458,5156
9361,53,586,450,5257
9362,50,588,425,5344
9358,52,590,391,5248
9347,62,591,343,5242
9346,63,591,306,5371
9357,50,593,280,5426
9352,51,597,276,5276
9350,52,598,266,5350
9354,45,601,252,5305
9349,50,601,249,5329
9348,51,601,238,5498
9351,46,603,236,5383
9352,44,604,223,5344
9353,41,606,209,5374
9364,30,606,197,5394
9367,27,606,199,5439
9367,27,606,198,5436
9363,30,607,193,5393
9359,34,607,195,5409
9363,30,607,186,5456
9357,36,607,169,5432
9344,48,608,160,5467
9346,45,609,159,5338
9351,40,609,146,5524
9353,36,611,142,5308
9357,32,611,131,5420
9356,32,612,133,5431
9355,31,614,134,5327
9346,39,615,126,5398
9346,39,615,114,5444
9351,33,616,111,5426
9346,37,617,109,5455
9355,27,618,108,5364
9356,23,621,102,5550
9352,27,621,104,5403
9353,26,621,95,5473
9357,21,622,90,5529
9354,22,624,93,5532
9350,24,626,91,5454
9338,36,626,82,5375
9336,38,626,76,5436
9340,33,627,76,5488
9341,31,628,77,5441
9350,21,629,79,5437
9351,19,630,78,5418
9350,19,631,77,5461
9346,23,631,71,5432
9352,17,631,70,5324
9357,12,631,63,5547
9354,15,631,61,5470
9351,17,632,61,5413
9351,15,634,55,5462
9345,21,634,49,5443
9341,24,635,49,5499
9344,20,636,46,5513
9352,12,636,39,5458
9353,11,636,47,5534
9348,15,637,43,5484
9348,14,638,39,5500
9345,16,639,38,5395
9333,28,639,36,5454
9334,26,640,40,5470
9345,14,641,41,5438
9350,9,641,47,5454
