nbSain,nbInfection,nbMorts,nbConfiner,nbMaks
9998,2,0,0,0
9953,47,0,0,0
9683,317,0,0,5201
8368,1628,4,10,5283
5351,4634,15,266,5445
4422,5500,78,1584,5261
6436,3329,235,3883,4571
8274,1344,382,4406,3288
9014,547,439,4431,3062
9308,226,466,4437,3026
9430,93,477,4440,3119
9456,62,482,4440,3004
9466,50,484,4440,3050
9466,50,484,4440,3098
9474,41,485,4440,3041
9465,50,485,4440,3075
9465,50,485,4440,3057
9462,48,490,4430,3049
9458,52,490,4175,3104
9447,60,493,2859,3178
9427,78,495,575,3923
9408,92,500,75,5195
9377,121,502,109,5473
9353,141,506,140,5494
9342,148,510,189,5434
9339,149,512,260,5303
9338,147,515,326,5314
9330,149,521,376,5293
9330,145,525,459,5299
9357,113,530,516,5205
9367,98,535,583,5270
9375,88,537,623,5196
9385,74,541,646,5292
9395,64,541,673,5229
9393,62,545,670,5132
9408,46,546,658,5127
9411,41,548,613,5175
9396,54,550,597,5179
9378,71,551,552,5171
9381,67,552,491,5178
9367,80,553,446,5193
9366,79,555,417,5237
9374,69,557,351,5183
9378,63,559,319,5310
9377,63,560,276,5270
9383,57,560,256,5269
9386,52,562,256,5320
9395,40,565,237,5372
9407,26,567,237,5398
9404,29,567,240,5271
9397,36,567,233,5395
9392,41,567,222,5328
9385,47,568,219,5353
9371,60,569,223,5407
9369,62,569,217,5309
9365,65,570,210,5359
9379,49,572,212,5353
9391,37,572,210,5339
9396,32,572,199,5403
9389,39,572,186,5357
9379,48,573,171,5341
9387,40,573,166,5458
9391,31,578,158,5392
9397,25,578,154,5404
9394,28,578,155,5450
9389,33,578,148,5464
9391,30,579,154,5409
9398,23,579,147,5460
9395,26,579,139,5462
9396,25,579,127,5491
9395,24,581,116,5462
9396,23,581,99,5447
9392,27,581,91,5471
9384,35,581,93,5415
9391,28,581,90,5497
9390,28,582,88,5464
9384,34,582,90,5428
9382,36,582,82,5494
9385,33,582,79,5462
9385,31,584,86,5475
9391,25,584,81,5477
9393,22,585,77,5469
9399,14,587,71,5569
9393,19,588,71,5498
9393,19,588,68,5466
9395,16,589,64,5487
9391,19,590,60,5484
9393,17,590,54,5385
9391,19,590,50,5398
9392,17,591,52,5444
9392,17,591,47,5469
9395,13,592,48,5446
9393,15,592,45,5467
9388,20,592,37,5424
9383,25,592,32,5444
9384,24,592,30,5472
9389,19,592,37,5450
9394,13,593,38,5476
9395,11,594,33,5443
9390,15,595,31,5457
9389,16,595,31,5462
