nbSain,nbInfection,nbMorts,nbConfiner,nbMaks
9998,2,0,0,0
9930,70,0,0,0
9488,512,0,0,5273
7605,2395,0,1,5258
4650,5331,19,382,5372
4693,5198,109,2252,5306
7052,2672,276,4180,4291
8572,1034,394,4398,3182
9153,416,431,4414,3077
9367,183,450,4417,3064
9454,93,453,4417,3164
9500,44,456,4417,3104
9507,37,456,4417,3002
9504,40,456,4417,3006
9503,39,458,4417,3128
9499,41,460,4417,3010
9498,40,462,4417,3114
9496,41,463,4416,3007
9490,47,463,4035,3061
9483,54,463,2169,3200
9446,89,465,254,4300
9410,123,467,59,5462
9394,137,469,81,5462
9385,144,471,141,5480
9369,158,473,196,5389
9382,140,478,260,5430
9395,119,486,345,5374
9398,113,489,406,5294
9406,103,491,457,5301
9413,93,494,493,5228
9428,75,497,528,5276
9438,63,499,556,5163
9447,54,499,580,5261
9444,56,500,590,5128
9438,62,500,591,5184
9432,66,502,581,5165
9429,64,507,555,5084
9429,61,510,513,5150
9432,58,510,482,5246
9443,44,513,438,5264
9442,45,513,363,5227
9439,48,513,317,5258
9433,53,514,274,5345
9423,62,515,249,5296
9422,63,515,230,5355
9431,54,515,226,5455
9436,46,518,221,5443
9445,36,519,226,5450
9438,43,519,224,5363
9430,48,522,225,5211
9430,44,526,220,5419
9433,40,527,214,5381
9431,40,529,195,5310
9424,47,529,184,5359
9428,42,530,179,5394
9428,40,532,178,5486
9429,39,532,179,5412
9434,33,533,179,5341
9438,29,533,172,5334
9434,32,534,156,5420
9432,34,534,145,5369
9429,36,535,132,5446
9430,34,536,123,5380
9437,27,536,117,5532
9439,24,537,115,5510
9431,32,537,108,5525
9425,37,538,109,5519
9423,39,538,103,5372
9413,47,540,110,5452
9415,44,541,107,5473
9423,34,543,108,5474
9430,24,546,107,5462
9425,27,548,105,5489
9416,35,549,105,5387
9417,34,549,98,5431
9427,24,549,106,5437
9427,23,550,111,5272
9426,23,551,107,5452
9422,25,553,107,5417
9421,26,553,106,5466
9420,25,555,102,5435
9423,22,555,106,5467
9421,24,555,98,5392
9424,21,555,91,5382
9427,17,556,85,5496
9424,20,556,84,5479
9421,22,557,78,5415
9424,17,559,75,5559
9427,14,559,77,5479
9427,13,560,66,5448
9422,17,561,61,5451
9423,15,562,58,5406
9426,12,562,54,5487
9423,15,562,52,5470
9418,18,564,50,5608
9419,17,564,45,5501
9421,15,564,44,5547
9424,12,564,43,5475
9418,18,564,47,5503
9417,19,564,42,5524
9423,13,564,43,5513
