nbSain,nbInfection,nbMorts,nbConfiner,nbMaks
9998,2,0,0,0
9956,44,0,0,0
9648,352,0,0,5265
8159,1839,2,1,5311
4810,5176,14,80,5364
3510,6409,81,690,5384
5667,4036,297,1976,5110
7948,1577,475,2534,4448
8932,536,532,2589,4065
9273,172,555,2593,4088
9359,71,570,2597,4074
9380,47,573,2598,4075
9396,31,573,2598,4100
9407,18,575,2598,3991
9396,28,576,2598,4089
9392,32,576,2598,4048
9400,23,577,2598,4079
9395,28,577,2597,4032
9389,33,578,2518,4052
9387,34,579,1908,4040
9381,38,581,622,4474
9374,43,583,73,5214
9365,52,583,23,5505
9353,62,585,26,5483
9351,60,589,26,5471
9355,55,590,30,5536
9362,46,592,37,5498
9372,35,593,44,5493
9377,28,595,47,5554
9366,38,596,52,5553
9367,37,596,56,5462
9371,31,598,58,5524
9375,25,600,61,5465
9376,24,600,63,5397
9386,14,600,63,5393
9382,18,600,55,5437
9370,30,600,52,5557
9367,33,600,46,5509
9364,36,600,45,5430
9367,32,601,43,5504
9380,19,601,42,5546
9381,18,601,38,5441
9377,22,601,37,5422
9375,24,601,33,5551
9377,21,602,30,5476
9376,21,603,33,5454
9372,25,603,32,5417
9373,24,603,32,5466
9372,24,604,35,5482
9369,27,604,38,5477
9370,25,605,37,5487
9373,20,607,37,5417
9372,21,607,34,5502
9368,25,607,34,5491
9365,27,608,33,5435
9368,23,609,32,5517
9370,20,610,32,5534
9369,21,610,32,5512
9368,22,610,35,5477
9368,21,611,32,5454
9370,19,611,32,5445
9373,16,611,31,5438
9374,12,614,29,5374
9373,13,614,26,5485
9371,15,614,27,5516
9367,19,614,26,5482
9367,19,614,27,5457
9367,19,614,25,5448
9362,24,614,21,5485
9364,21,615,19,5451
9365,20,615,18,5567
9363,22,615,18,5450
9365,20,615,17,5499
9368,16,616,18,5513
9367,16,617,17,5480
9367,16,617,17,5534
9363,20,617,16,5450
9358,25,617,15,5419
9362,20,618,14,5398
9366,15,619,14,5531
9364,15,621,14,5451
9363,16,621,14,5426
9363,16,621,16,5517
9366,13,621,17,5520
9370,9,621,18,5507
9368,11,621,19,5517
9365,14,621,16,5568
9361,18,621,13,5552
9367,12,621,12,5494
9368,11,621,11,5508
9363,16,621,13,5516
9363,15,622,16,5479
9368,8,624,16,5509
9368,8,624,16,5467
9368,8,624,15,5445
9369,7,624,15,5518
9366,10,624,12,5562
9364,12,624,11,5470
9361,15,624,9,5476
9360,16,624,7,5610
9361,14,625,8,5461
