nbSain,nbInfection,nbMorts,nbConfiner,nbMaks
9998,2,0,0,0
9927,73,0,0,0
9531,469,0,0,5142
7696,2301,3,10,5430
4706,5272,22,421,5300
4581,5295,124,2060,5148
6904,2800,296,4074,4364
8428,1159,413,4312,3325
9080,471,449,4327,3101
9345,189,466,4327,3057
9446,84,470,4327,3163
9469,56,475,4327,3179
9476,49,475,4327,3136
9473,47,480,4327,3111
9476,44,480,4327,3150
9469,49,482,4327,3149
9472,46,482,4327,3105
9471,43,486,4317,3108
9470,42,488,3906,3206
9458,53,489,2269,3392
9450,61,489,265,4347
9438,70,492,57,5242
9414,93,493,64,5498
9377,130,493,107,5475
9367,135,498,150,5483
9376,118,506,213,5413
9383,107,510,300,5337
9373,114,513,364,5361
9385,94,521,392,5204
9375,99,526,448,5239
9373,99,528,488,5218
9382,86,532,522,5226
9379,88,533,559,5160
9379,84,537,584,5170
9396,66,538,612,5190
9404,54,542,610,5141
9403,53,544,607,5135
9395,59,546,580,5187
9380,72,548,549,5152
9376,75,549,497,5151
9380,67,553,433,5171
9382,61,557,392,5254
9385,55,560,390,5304
9387,53,560,359,5266
9392,46,562,334,5272
9400,37,563,310,5272
9400,36,564,286,5362
9400,34,566,265,5290
9397,34,569,237,5392
9391,38,571,226,5378
9386,42,572,214,5433
9382,46,572,209,5353
9388,39,573,209,5395
9386,41,573,209,5337
9385,42,573,192,5417
9398,26,576,179,5380
9393,31,576,161,5411
9378,45,577,147,5378
9382,39,579,139,5473
9389,32,579,135,5430
9388,33,579,136,5450
9384,36,580,140,5447
9381,38,581,143,5422
9383,35,582,140,5394
9379,37,584,143,5432
9381,33,586,146,5509
9389,24,587,138,5469
9388,24,588,135,5416
9389,22,589,135,5547
9388,23,589,129,5385
9383,27,590,125,5412
9385,25,590,125,5378
9392,18,590,123,5461
9395,15,590,123,5444
9393,15,592,113,5434
9393,15,592,111,5520
9385,23,592,100,5404
9386,21,593,90,5384
9388,19,593,82,5406
9389,16,595,72,5558
9386,19,595,70,5461
9379,26,595,65,5378
9383,21,596,59,5464
9381,23,596,59,5488
9375,29,596,60,5487
9372,32,596,54,5522
9368,35,597,54,5435
9367,34,599,60,5503
9371,30,599,61,5539
9371,30,599,61,5394
9375,26,599,65,5565
9382,19,599,66,5439
9380,20,600,70,5477
9369,31,600,69,5615
9371,29,600,69,5419
9376,23,601,68,5428
9374,24,602,79,5499
9378,20,602,80,5483
9376,22,602,78,5377
9372,26,602,78,5482
9373,24,603,74,5422
